,path,duration,cluster,tsne_1,tsne_2
0,executive-order-5855-assignment-frequencies-government-radio-stations.json,0.05301952362060547,40,-24.31227,12.092871
1,executive-order-6756-c-approval-code-fair-competition-for-the-wholesale-fresh-fruit-and.json,0.06273436546325684,43,-14.963946,45.930885
2,executive-order-taking-military-possession-railroads.json,0.034972190856933594,0,-43.21221,-42.001114
3,executive-order-concerning-blockade.json,0.06454873085021973,0,-47.932255,-36.022755
4,executive-order-6801-designating-the-honorable-felix-cordova-davila-acting-judge-the.json,0.024657487869262695,11,-25.279959,-35.54039
5,executive-order-5534-public-water-reserve-no-137-montana-and-nevada.json,0.0635983943939209,10,-63.229656,10.575804
6,executive-order-revocation-camp-wright-military-reservation.json,0.03365826606750488,27,-77.70136,-5.312231
7,executive-order-6250-code-fair-competition-for-the-legitimate-full-length-dramatic-and.json,0.043367862701416016,31,71.224724,-19.400614
8,executive-order-7716-extension-trust-periods-indian-lands-expiring-during-calendar-year.json,0.03877067565917969,38,-91.56142,-35.404465
9,executive-order-10175-amending-executive-order-no-7908-june-9-1938-and-executive-order-no.json,0.07296228408813477,26,-15.775592,23.55679
10,executive-order-14174-revocation-certain-executive-orders.json,0.028120994567871094,12,41.762417,49.18311
11,executive-order-10636-amendment-executive-order-no-10000-september-16-1948-prescribing.json,0.0784311294555664,46,51.054775,0.51493734
12,executive-order-2741-waiving-civil-service-regulations-for-confidential-positions-under.json,0.020413637161254883,35,14.903519,-51.691063
13,executive-order-12174-federal-paperwork-reduction.json,0.03517317771911621,40,16.52649,28.99447
14,executive-order-5317-suspension-executive-order-abolishing-new-bern-and-manteo-north.json,0.03912162780761719,34,-68.36817,-44.08423
15,executive-order-12414-establishment-emergency-board-no-201-investigate-railroad-labor.json,0.0459291934967041,16,82.0973,40.518593
16,executive-order-9807-authorizing-the-civil-service-commission-confer-competative-civil.json,0.06687307357788086,35,24.773838,-49.663647
17,executive-order-5897-temporary-exemption-william-bertrand-acker-from-compulsory-retirement.json,0.02372884750366211,11,-5.263199,-64.68085
18,executive-order-11701-employment-veterans-federal-agencies-and-government-contractors-and.json,0.056056976318359375,26,-0.10353474,32.75045
19,executive-order-8510-establishing-the-carolina-sandhills-wildlife-management-area.json,0.23017406463623047,33,-49.182106,51.564304
20,executive-order-83.json,0.0613248348236084,0,-32.224457,5.849055
21,executive-order-11333-partially-suspending-section-6374-title-10-the-united-states-code.json,0.02332758903503418,29,23.461603,-19.647942
22,executive-order-13433-protecting-american-taxpayers-from-payment-contingency-fees.json,0.0424957275390625,36,19.739603,61.143135
23,executive-order-5035-abolishing-frenchville-maine-customs-port-entry.json,0.0356755256652832,34,-68.731674,-42.967865
24,executive-order-13875-evaluating-and-improving-the-utility-federal-advisory-committees.json,0.038871049880981445,36,36.612995,65.838196
25,executive-order-7557-amendment-executive-order-no-7530-december-31-1936-transferring.json,0.044394731521606445,44,-16.763494,-25.671312
26,executive-order-6934-sioux-city-iowa-abolished-customs-port-entry.json,0.020657062530517578,34,-66.281265,-42.928967
27,executive-order-8452-exemption-albert-clyde-burton-from-compulsory-retirement-for-age.json,0.20042777061462402,19,-5.6445255,-85.40664
28,executive-order-12173-panama-canal.json,0.026906251907348633,39,-40.456684,-17.862362
29,executive-order-14210-implementing-the-presidents-department-government-efficiency.json,0.07467937469482422,6,-18.93048,68.65174
30,executive-order-1062-directing-heads-departments-comply-with-congressional-resolutions.json,0.044904470443725586,40,5.618823,-41.167927
31,executive-order-11820-international-council-archives-bicentennial-year-meeting.json,0.03666400909423828,5,15.524747,8.442967
32,executive-order-11723-further-providing-for-the-stabilization-the-economy.json,0.0436398983001709,41,-2.1087005,32.166965
33,executive-order-12351-nuclear-cooperation-with-euratom.json,0.03804183006286621,12,56.418655,32.301636
34,executive-order-11971-director-the-federal-bureau-investigation.json,0.06979918479919434,42,18.46097,33.01178
35,executive-order-5624-regulations-governing-the-occupation-and-maintenance-certain-foreign.json,0.0804741382598877,6,-12.307777,92.32026
